,Goods Location,Product Name,Discount Price,Product Price,Product Discount,Reviews
691,,Realme Note 50 Dual SIM 3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.2 out of 5(22)
692,,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 176,320","₦ 450,000",,3.3 out of 5(3)
693,,"itel S23+ 6.78"" FHD 8GB RAM/256 ROM Android 12 - Blue","₦ 198,000","₦ 280,000",,4.5 out of 5(29)
694,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4.5 out of 5(4)
695,,"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Light Blue","₦ 155,800","₦ 300,000",,5 out of 5(3)
696,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",,4.5 out of 5(10)
697,,"ZTE Nubia V60 Design 6GB / 256GB 6.6'' FHD+, 50MP Camera - Blue","₦ 174,230","₦ 300,000",,4.8 out of 5(23)
698,,Realme Note 50 Dual SIM  3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.5 out of 5(11)
699,,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black + Free Backpack","₦ 316,999","₦ 350,000",,3.7 out of 5(3)
700,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - Dark","₦ 331,855","₦ 390,000",,4.6 out of 5(7)
701,,"ZTE Blade A55, 4GB RAM + 128GB ROM, 6.6” HD+, 5000mAh - Black","₦ 121,445","₦ 200,000",,3.9 out of 5(16)
702,,"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 144,270","₦ 200,000",,
703,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4 out of 5(19)
704,,"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 144,270","₦ 250,000",,4.5 out of 5(2)
705,,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Light Green","₦ 122,000","₦ 135,000",,4.1 out of 5(49)
706,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 - Sage Green,"₦ 157,320","₦ 350,000",,
707,,"AGM H6 Leather Ultra-Thin Rugged Smartphone 6.6"" 16GB RAM/256GB Android 13 NFC - Black","₦ 272,669","₦ 304,386",,4.3 out of 5(44)
708,,"Poco C61 6.71"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 126,600","₦ 700,000",,1 out of 5(1)
709,,Nokia T20 10.4” 4GB RAM/64GB ROM Android 11- Ocean Blue,"₦ 169,990","₦ 200,000",,4.4 out of 5(21)
710,,"Poco C61 6.71"" 3GB RAM / 64GB ROM Android 14 - Black","₦ 110,210","₦ 700,000",,1 out of 5(1)
711,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - White","₦ 331,855","₦ 390,000",,4.7 out of 5(3)
712,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -Black","₦ 133,300","₦ 200,000",,3.7 out of 5(3)
713,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Midnight Black,"₦ 157,320","₦ 250,000",,3.3 out of 5(9)
714,,"FreeYond M5,4GB+128GB,4G 6.52"" Smartphone 5000mAh,Grey","₦ 131,600","₦ 199,000",,3.8 out of 5(244)
715,,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Starry Blue,"₦ 139,000","₦ 500,000",,5 out of 5(1)
716,,"Tecno POVA 6 Neo 6.78"" 8GB RAM/256GB ROM Android 14 - Black","₦ 268,500","₦ 300,000",,4 out of 5(4)
717,,"ZTE Blade A35 4GB RAM + 64GB ROM, 6.6” HD+, 5000mAh - Black","₦ 108,560","₦ 150,000",,4.7 out of 5(7)
718,,"Poco C75 6.88"" 6GB RAM / 128GB ROM Android 14 - Black","₦ 157,320","₦ 700,000",,
719,,"Tecno CAMON 30 6.78"" 12GB RAM/256GB ROM Android 14 - Dark","₦ 387,835","₦ 500,000",,
